symbol,name
CMRS-LN,Caerus Mineral Resources Plc
CMX-LN,Catalyst Media Group Plc
CNA-LN,Centrica plc
CNC-LN,Concurrent Technologies
CNE-LN,Cairn Energy plc.
CNG-LN,China Nonferrous Gold Limited
CNIC-LN,Centralnic Group Plc
CNKS-LN,Cenkos Securities
CNN-LN,Caledonian Trust
CNR-LN,Condor Gold Plc
CNS-LN,Corero Network Security Plc
COA-LN,Coats Group Plc
COBR-LN,Cobra Resources Plc
COG-LN,Cambridge Cognition Holdings plc
COM-LN,Comptoir Group Plc
COPL-LN,Canadian Overseas Petroleum Ltd
CORA-LN,Cora Gold Limited
CORD-LN,Cordiant Digital Infrastructure Limited
CORO-LN,Coro Energy Plc
COST-LN,Costain Group PLC
CPC-LN,City Pub Group Plc
CPG-LN,Compass Group Plc
CPI-LN,Capita Plc
CPP-LN,CPP Group Plc
CPS-LN,CPL Resources Plc
CPT-LN,Concepta Plc
CPX-LN,Cap-XX
CRC-LN,Circle Property Plc
CRCL-LN,Corcel Plc
CRDA-LN,Croda International plc
CRE-LN,Conduit Holdings Limited
CREI-LN,Custodian REIT Plc
CREO-LN,Creo Medical Group Plc
CRH-LN,CRH Plc
CRL-LN,Creightons
CRN-LN,Cairn Homes Plc
CRPR-LN,Cropper (James) plc
CRS-LN,Crystal Amber Fund Ltd
CRST-LN,Crest Nicholson Holdings Plc
CRTM-LN,Critical Metals Plc
CRU-LN,Coral Products
CRW-LN,Craneware Plc
CRWN-LN,Crown Place Vct Plc
CSFS-LN,Cornerstone FS Plc
CSH-LN,Civitas Social Housing Plc
CSN-LN,Chesnara plc
CSP-LN,Countryside Properties plc
CSRD-LN,Cordiant Digital Infrastructure Limited - Subscription Shares
CSSG-LN,Croma Security Solutions Group Plc
CTEA-LN,Catenae Innovation Plc
CTEC-LN,ConvaTec Group Plc
CTG-LN,Christie Group
CTH-LN,CareTech Holdings Plc
CTI-LN,Cathay International Holdings
CTNA-LN,Insig AI Plc
CTO-LN,TClarke Plc
CTY-LN,City of London Investment Trust
CUSN-LN,Cornish Metals Inc.
CVSG-LN,CVS Group Plc
CWD-LN,Countrywide plc
CWK-LN,Cranswick plc
CWR-LN,Ceres Power Holdings Plc
CYAN-LN,CyanConnode Holdings Plc
CYBA-LN,CYBA plc
CYN-LN,CQS Natural Resources Growth and Income Plc
D467-LN,Downing FOUR VCT Plc - (DP67)
D4G-LN,Downing FOUR VCT Plc - (Generalist Shares)
D4H-LN,Downing FOUR VCT Plc - (Healthcare Shares)
D4OA-LN,Downing FOUR VCT Plc - Class A (General Shares)
D4OO-LN,Downing FOUR VCT Plc - (General Shares)
D4SA-LN,Downing FOUR VCT Plc - Class A (Structured Shares)
D4SO-LN,Downing FOUR VCT Plc - (Structured Shares)
D4T4-LN,D4t4 Solutions Plc
DAL-LN,Dalata Hotel Group Plc
DARK-LN,Darktrace Plc
DAT-LN,"Datang International Power Generation Co., Ltd. - Class H"
DBOX-LN,Digitalbox Plc
DC.-LN,Dixons Carphone plc
DCC-LN,DCC Plc
DCD-LN,DCD Media Plc
DCI-LN,Dolphin Capital Investors
DCTA-LN,Directa Plus Plc
DDDD-LN,4d Pharma Plc
DDV1-LN,Downing One Vct Plc
DEC-LN,Diversified Energy Company Plc
DELT-LN,Deltic Energy Plc
DEMG-LN,Deltex Medical Group plc
DEST-LN,Destiny Pharma Plc
DEV-LN,Dev Clever Holdings plc
DEVC-LN,Draper Esprit VCT Plc
DFCH-LN,Distribution Finance Capital Holdings Plc
DFS-LN,DFS Furniture Plc
DGE-LN,Diageo plc
DGI9-LN,Digital 9 Infrastructure Plc
DGN-LN,Asia Dragon Trust plc
DGOC-LN,Diversified Gas & Oil Plc
DIA-LN,Dialight Plc
DIG-LN,Dunedin Income Growth Investment Trust plc
DIGS-LN,Gcp Student Living Plc
DIS-LN,Distil plc
DISH-LN,Amala Foods Plc
DIVI-LN,Diverse Income Trust plc
DKE-LN,Dukemount Capital Plc
DKL-LN,Dekel Agri-Vision Plc
DLAR-LN,De La Rue plc
DLG-LN,Direct Line Insurance Group plc
DLN-LN,Derwent London Plc
DMGT-LN,Daily Mail & General Trust plc - Class A
DMTR-LN,DeepMatter Group Plc
DNE-LN,Dunedin Enterprise Investment Trust
DNK-LN,Danakali Ltd
DNL-LN,Diurnal Group Plc
DNLM-LN,Dunelm Group Plc
DNM-LN,Dianomi Plc
DO1D-LN,Downing FOUR VCT Plc - Class D
DOCS-LN,Dr. Martens Plc
DODS-LN,Dods Group Plc
DOM-LN,Domino`s Pizza Group Plc
DORE-LN,Downing Renewables & Infrastructure Trust Plc
DOTD-LN,dotDigital Group Plc
DP2F-LN,Downing Two VCT Plc - Class F
DP2G-LN,Downing Two VCT Plc - Class G
DP2K-LN,Downing Two VCT Plc - Class K
DP3F-LN,Downing Three VCT Plc - Class F
DP3H-LN,Downing Three VCT Plc - Class H
DP3J-LN,Downing Three VCT Plc - Class J
DPEU-LN,DP Eurasia N.V
DPH-LN,Dechra Pharmaceuticals plc
DPLM-LN,Diploma plc
DPP-LN,DP Poland Plc
DRIP-LN,Drum Income Plus REIT Plc.
DRUM-LN,Drumz Plc
DRV-LN,Driver Group
DRX-LN,Drax Group
DSCV-LN,DiscoverIE Group Plc
DSG-LN,Dillistone Group
DSM-LN,Downing Strategic Micro-Cap Investment Trust Plc
DTY-LN,Dignity
DUKE-LN,Duke Royalty Limited
DVO-LN,Devro plc
DVRG-LN,Deepverge Plc
DVT-LN,daVictus plc
DWF-LN,DWF Group Plc
DWHA-LN,Dewhurst - Class A
DWHT-LN,Dewhurst
DWMI-LN,DWM Inclusive Fin Inc Fd Ltd
DX.-LN,DX (Group) Plc
DXRX-LN,Diaceutics Plc
EAAS-LN,eEnergy Group Plc
EAH-LN,Eco Animal Health Group Plc
